RecordDate,RecordMonth,CustomerGroup,Location,Revenue
2022-12-01,2022-12-01,Bronze,Location 01,831405471.3
2022-12-01,2022-12-01,Bronze,Location 02,2438621054.4
2022-12-01,2022-12-01,Bronze,Location 03,4669991361.3
2022-12-01,2022-12-01,Bronze,Location 04,6437170714.5
2022-12-01,2022-12-01,Bronze,Location 06,1601231139.0
2022-12-01,2022-12-01,Bronze,Location 07,1923130305.8999999
2022-12-01,2022-12-01,Bronze,Location 08,584980222.1999999
2022-12-01,2022-12-01,Bronze,Location 09,2327064806.1
2022-12-01,2022-12-01,Bronze,Location 10,136965278.1
2022-12-01,2022-12-01,Bronze,Location 11,1884716749.5
2022-12-01,2022-12-01,Bronze,Location 12,10066524666.9
2022-12-01,2022-12-01,Bronze,Location 13,3118321861.5
2022-12-01,2022-12-01,Bronze,Location 14,5564076361.2
2022-12-01,2022-12-01,Bronze,Location 15,7581805.5
2022-12-01,2022-12-01,Bronze,Location 16,5920064166.9
2022-12-01,2022-12-01,Bronze,Location 17,1982804640.0
2022-12-01,2022-12-01,Diamond,Location 01,1662157749.9
2022-12-01,2022-12-01,Diamond,Location 02,1137675877.5
2022-12-01,2022-12-01,Diamond,Location 03,21890456113.8
2022-12-01,2022-12-01,Diamond,Location 04,42928461819.9
2022-12-01,2022-12-01,Diamond,Location 07,5784326444.400001
2022-12-01,2022-12-01,Diamond,Location 09,5556991277.7
2022-12-01,2022-12-01,Diamond,Location 10,60135527.7
2022-12-01,2022-12-01,Diamond,Location 11,3384263222.4000006
2022-12-01,2022-12-01,Diamond,Location 12,18652309083.9
2022-12-01,2022-12-01,Diamond,Location 13,8955648417.0
2022-12-01,2022-12-01,Diamond,Location 14,14382644972.1
2022-12-01,2022-12-01,Diamond,Location 15,10535120533.2
2022-12-01,2022-12-01,Diamond,Location 16,6771431282.7
2022-12-01,2022-12-01,Diamond,Location 17,1675817639.1
2022-12-01,2022-12-01,Gold,Location 01,314742972.0
2022-12-01,2022-12-01,Gold,Location 02,517031472.0
2022-12-01,2022-12-01,Gold,Location 03,4573058749.5
2022-12-01,2022-12-01,Gold,Location 04,4125094644.9
2022-12-01,2022-12-01,Gold,Location 06,210958361.1
2022-12-01,2022-12-01,Gold,Location 07,639279166.8
2022-12-01,2022-12-01,Gold,Location 08,25618083.3
2022-12-01,2022-12-01,Gold,Location 09,2037988471.8
2022-12-01,2022-12-01,Gold,Location 10,87851722.2
2022-12-01,2022-12-01,Gold,Location 11,396029194.2
2022-12-01,2022-12-01,Gold,Location 12,7035098417.4
2022-12-01,2022-12-01,Gold,Location 13,2540240778.0
2022-12-01,2022-12-01,Gold,Location 14,3162722166.6000004
2022-12-01,2022-12-01,Gold,Location 16,2380245833.1000004
2022-12-01,2022-12-01,Gold,Location 17,899663278.5
2022-12-01,2022-12-01,Iron,Location 01,446274000.6
2022-12-01,2022-12-01,Iron,Location 02,1533914250.6000001
2022-12-01,2022-12-01,Iron,Location 03,1043149638.9
2022-12-01,2022-12-01,Iron,Location 04,2477972167.2
2022-12-01,2022-12-01,Iron,Location 06,1964836027.8
2022-12-01,2022-12-01,Iron,Location 07,997719944.7
2022-12-01,2022-12-01,Iron,Location 08,2012491666.8
2022-12-01,2022-12-01,Iron,Location 09,788948778.0
2022-12-01,2022-12-01,Iron,Location 10,55775722.2
2022-12-01,2022-12-01,Iron,Location 11,1010829139.2
2022-12-01,2022-12-01,Iron,Location 12,2663024777.1
2022-12-01,2022-12-01,Iron,Location 13,1220732109.9
2022-12-01,2022-12-01,Iron,Location 14,1778342083.2
2022-12-01,2022-12-01,Iron,Location 16,3577445861.1
2022-12-01,2022-12-01,Iron,Location 17,1335363944.7
2022-12-01,2022-12-01,Platinum,Location 01,162158777.7
2022-12-01,2022-12-01,Platinum,Location 02,471959000.09999996
2022-12-01,2022-12-01,Platinum,Location 03,3096832281.9
2022-12-01,2022-12-01,Platinum,Location 04,3313912093.7999997
2022-12-01,2022-12-01,Platinum,Location 06,141077166.6
2022-12-01,2022-12-01,Platinum,Location 07,249743027.4
2022-12-01,2022-12-01,Platinum,Location 09,1087069888.8
2022-12-01,2022-12-01,Platinum,Location 10,55722916.8
2022-12-01,2022-12-01,Platinum,Location 11,450527805.3
2022-12-01,2022-12-01,Platinum,Location 12,3277366778.1000004
2022-12-01,2022-12-01,Platinum,Location 13,1105755083.7
2022-12-01,2022-12-01,Platinum,Location 14,1280921999.7
2022-12-01,2022-12-01,Platinum,Location 16,1249972194.3
2022-12-01,2022-12-01,Platinum,Location 17,422688195.0
2022-12-01,2022-12-01,Silver,Location 01,280250943.90000004
2022-12-01,2022-12-01,Silver,Location 02,772254249.3
2022-12-01,2022-12-01,Silver,Location 03,2565412972.2
2022-12-01,2022-12-01,Silver,Location 04,3450928095.3
2022-12-01,2022-12-01,Silver,Location 06,364020194.4
2022-12-01,2022-12-01,Silver,Location 07,647655389.1
2022-12-01,2022-12-01,Silver,Location 08,26402055.6
2022-12-01,2022-12-01,Silver,Location 09,1201316666.1
2022-12-01,2022-12-01,Silver,Location 10,75073027.8
2022-12-01,2022-12-01,Silver,Location 11,383386666.8
2022-12-01,2022-12-01,Silver,Location 12,4237491610.5000005
2022-12-01,2022-12-01,Silver,Location 13,1491669305.7
2022-12-01,2022-12-01,Silver,Location 14,2595350693.7
2022-12-01,2022-12-01,Silver,Location 16,1770856944.9
2022-12-01,2022-12-01,Silver,Location 17,571770055.8000001
2022-12-01,2022-12-01,Unranked,Location 02,472222.2
2022-12-01,2022-12-01,Unranked,Location 03,555555.6000000001
2022-12-01,2022-12-01,Unranked,Location 04,6023611.2
2022-12-01,2022-12-01,Unranked,Location 06,583333.2
2022-12-01,2022-12-01,Unranked,Location 07,1166666.7
2022-12-01,2022-12-01,Unranked,Location 08,1749999.9000000001
2022-12-01,2022-12-01,Unranked,Location 12,2791666.8
2022-12-01,2022-12-01,Unranked,Location 16,3861111.3000000003
2022-12-01,2022-12-01,Unranked,Location 17,0.0
2022-12-02,2022-12-01,Bronze,Location 01,724598750.1
2022-12-02,2022-12-01,Bronze,Location 02,2412267748.5
2022-12-02,2022-12-01,Bronze,Location 03,4724336888.7
2022-12-02,2022-12-01,Bronze,Location 04,6566203120.2
2022-12-02,2022-12-01,Bronze,Location 06,1656209416.8000002
2022-12-02,2022-12-01,Bronze,Location 07,2065169832.9
2022-12-02,2022-12-01,Bronze,Location 08,432771527.7000001
2022-12-02,2022-12-01,Bronze,Location 09,2320724138.4
2022-12-02,2022-12-01,Bronze,Location 10,126467222.1
2022-12-02,2022-12-01,Bronze,Location 11,1857468166.8
2022-12-02,2022-12-01,Bronze,Location 12,10421578914.9
2022-12-02,2022-12-01,Bronze,Location 13,3271822695.0
2022-12-02,2022-12-01,Bronze,Location 14,5651864555.4
2022-12-02,2022-12-01,Bronze,Location 15,5041527.899999999
2022-12-02,2022-12-01,Bronze,Location 16,5730839165.1
2022-12-02,2022-12-01,Bronze,Location 17,2160841389.3
2022-12-02,2022-12-01,Diamond,Location 01,1661753333.4
2022-12-02,2022-12-01,Diamond,Location 02,1372022193.0
2022-12-02,2022-12-01,Diamond,Location 03,21312298839.9
2022-12-02,2022-12-01,Diamond,Location 04,41601546456.9
2022-12-02,2022-12-01,Diamond,Location 07,5576126472.6
2022-12-02,2022-12-01,Diamond,Location 09,5911325055.3
2022-12-02,2022-12-01,Diamond,Location 10,50968861.2
2022-12-02,2022-12-01,Diamond,Location 11,3353094722.1
2022-12-02,2022-12-01,Diamond,Location 12,17884978305.9
2022-12-02,2022-12-01,Diamond,Location 13,9352844861.1
2022-12-02,2022-12-01,Diamond,Location 14,14586874472.4
2022-12-02,2022-12-01,Diamond,Location 15,10363183771.5
2022-12-02,2022-12-01,Diamond,Location 16,6198757424.4
2022-12-02,2022-12-01,Diamond,Location 17,1601145194.7
2022-12-02,2022-12-01,Gold,Location 01,263959916.7
2022-12-02,2022-12-01,Gold,Location 02,621472694.4
2022-12-02,2022-12-01,Gold,Location 03,4309960527.6
2022-12-02,2022-12-01,Gold,Location 04,3997898454.3
2022-12-02,2022-12-01,Gold,Location 06,159109389.0
2022-12-02,2022-12-01,Gold,Location 07,718753222.1999999
2022-12-02,2022-12-01,Gold,Location 08,12451389.0
2022-12-02,2022-12-01,Gold,Location 09,1964116888.2
2022-12-02,2022-12-01,Gold,Location 10,86206777.8
2022-12-02,2022-12-01,Gold,Location 11,438597027.90000004
2022-12-02,2022-12-01,Gold,Location 12,7146176778.9
2022-12-02,2022-12-01,Gold,Location 13,2482796999.1
2022-12-02,2022-12-01,Gold,Location 14,3586446139.5
2022-12-02,2022-12-01,Gold,Location 16,2461792972.5
2022-12-02,2022-12-01,Gold,Location 17,908692083.6
2022-12-02,2022-12-01,Iron,Location 01,405200528.7
2022-12-02,2022-12-01,Iron,Location 02,1454603473.8
2022-12-02,2022-12-01,Iron,Location 03,1053071944.2
2022-12-02,2022-12-01,Iron,Location 04,2505884028.0
2022-12-02,2022-12-01,Iron,Location 06,1868904083.4
2022-12-02,2022-12-01,Iron,Location 07,878519027.4
2022-12-02,2022-12-01,Iron,Location 08,1737294972.2999997
2022-12-02,2022-12-01,Iron,Location 09,830039583.3
2022-12-02,2022-12-01,Iron,Location 10,56570055.900000006
2022-12-02,2022-12-01,Iron,Location 11,971757750.6
2022-12-02,2022-12-01,Iron,Location 12,2723773083.3
2022-12-02,2022-12-01,Iron,Location 13,1343826304.5
2022-12-02,2022-12-01,Iron,Location 14,1819325334.6000001
2022-12-02,2022-12-01,Iron,Location 16,3516012944.1
2022-12-02,2022-12-01,Iron,Location 17,1360511666.1
2022-12-02,2022-12-01,Platinum,Location 01,158522527.8
2022-12-02,2022-12-01,Platinum,Location 02,460187749.8
2022-12-02,2022-12-01,Platinum,Location 03,3159400252.2
2022-12-02,2022-12-01,Platinum,Location 04,3382203215.1
2022-12-02,2022-12-01,Platinum,Location 06,45978861.0
2022-12-02,2022-12-01,Platinum,Location 07,213486139.2
2022-12-02,2022-12-01,Platinum,Location 09,1300907805.6000001
2022-12-02,2022-12-01,Platinum,Location 10,21513888.9
2022-12-02,2022-12-01,Platinum,Location 11,340707833.1
2022-12-02,2022-12-01,Platinum,Location 12,3292506472.5
2022-12-02,2022-12-01,Platinum,Location 13,942029638.8
2022-12-02,2022-12-01,Platinum,Location 14,1297218944.4
2022-12-02,2022-12-01,Platinum,Location 16,1127680722.3
2022-12-02,2022-12-01,Platinum,Location 17,330648888.6
2022-12-02,2022-12-01,Silver,Location 01,257337444.6
2022-12-02,2022-12-01,Silver,Location 02,621372610.8000001
2022-12-02,2022-12-01,Silver,Location 03,2483467722.0
2022-12-02,2022-12-01,Silver,Location 04,3099132573.0
2022-12-02,2022-12-01,Silver,Location 06,385719722.1
2022-12-02,2022-12-01,Silver,Location 07,648308000.1
2022-12-02,2022-12-01,Silver,Location 08,27748749.9
2022-12-02,2022-12-01,Silver,Location 09,1156918527.9
2022-12-02,2022-12-01,Silver,Location 10,112596750.0
2022-12-02,2022-12-01,Silver,Location 11,321528806.1
2022-12-02,2022-12-01,Silver,Location 12,4359211777.8
2022-12-02,2022-12-01,Silver,Location 13,1515044166.3
2022-12-02,2022-12-01,Silver,Location 14,3033419694.6
2022-12-02,2022-12-01,Silver,Location 16,1843807110.8999999
2022-12-02,2022-12-01,Silver,Location 17,538723028.1
2022-12-02,2022-12-01,Unranked,Location 01,39148194.6
2022-12-02,2022-12-01,Unranked,Location 02,46552055.7
2022-12-02,2022-12-01,Unranked,Location 03,71069194.5
2022-12-02,2022-12-01,Unranked,Location 04,145856499.0
2022-12-02,2022-12-01,Unranked,Location 06,89204777.7
2022-12-02,2022-12-01,Unranked,Location 07,18444222.9
2022-12-02,2022-12-01,Unranked,Location 08,244063944.6
2022-12-02,2022-12-01,Unranked,Location 09,16986360.900000002
2022-12-02,2022-12-01,Unranked,Location 10,2661111.0
2022-12-02,2022-12-01,Unranked,Location 11,27444416.400000002
2022-12-02,2022-12-01,Unranked,Location 12,141938138.4
2022-12-02,2022-12-01,Unranked,Location 13,29291777.400000006
2022-12-02,2022-12-01,Unranked,Location 14,364119944.09999996
2022-12-02,2022-12-01,Unranked,Location 16,153739360.5
2022-12-02,2022-12-01,Unranked,Location 17,19180472.700000003
2022-12-03,2022-12-01,Bronze,Location 01,880633750.2000002
2022-12-03,2022-12-01,Bronze,Location 02,1987479693.6000001
2022-12-03,2022-12-01,Bronze,Location 03,4184554166.7000003
2022-12-03,2022-12-01,Bronze,Location 04,6020508356.1
2022-12-03,2022-12-01,Bronze,Location 06,1284184666.8000002
2022-12-03,2022-12-01,Bronze,Location 07,1588350612.3000002
2022-12-03,2022-12-01,Bronze,Location 08,410621083.2000001
2022-12-03,2022-12-01,Bronze,Location 09,2307496500.3
2022-12-03,2022-12-01,Bronze,Location 10,114060250.5
2022-12-03,2022-12-01,Bronze,Location 11,1484037194.1000001
2022-12-03,2022-12-01,Bronze,Location 12,9895856306.7
2022-12-03,2022-12-01,Bronze,Location 13,2984646554.1
2022-12-03,2022-12-01,Bronze,Location 14,5734733667.0
2022-12-03,2022-12-01,Bronze,Location 15,2513861.1
2022-12-03,2022-12-01,Bronze,Location 16,4802589751.2
2022-12-03,2022-12-01,Bronze,Location 17,1883690637.0
2022-12-03,2022-12-01,Diamond,Location 01,1744712083.5
2022-12-03,2022-12-01,Diamond,Location 02,1035840830.1
2022-12-03,2022-12-01,Diamond,Location 03,19228100541.600002
2022-12-03,2022-12-01,Diamond,Location 04,36516887018.1
2022-12-03,2022-12-01,Diamond,Location 07,4572317166.9
2022-12-03,2022-12-01,Diamond,Location 09,5877943332.6
2022-12-03,2022-12-01,Diamond,Location 10,47083277.7
2022-12-03,2022-12-01,Diamond,Location 11,2827904583.3
2022-12-03,2022-12-01,Diamond,Location 12,16480652306.7
2022-12-03,2022-12-01,Diamond,Location 13,8343728000.400001
2022-12-03,2022-12-01,Diamond,Location 14,15084769111.5
2022-12-03,2022-12-01,Diamond,Location 15,9193216775.699999
2022-12-03,2022-12-01,Diamond,Location 16,5279875992.900001
2022-12-03,2022-12-01,Diamond,Location 17,1440836805.0
2022-12-03,2022-12-01,Gold,Location 01,156977027.7
2022-12-03,2022-12-01,Gold,Location 02,540143861.1
2022-12-03,2022-12-01,Gold,Location 03,4038649555.2
2022-12-03,2022-12-01,Gold,Location 04,3610911787.5
2022-12-03,2022-12-01,Gold,Location 06,211833972.3
2022-12-03,2022-12-01,Gold,Location 07,605143333.2
2022-12-03,2022-12-01,Gold,Location 08,15138527.7
2022-12-03,2022-12-01,Gold,Location 09,1926400666.2
2022-12-03,2022-12-01,Gold,Location 10,61051055.4
2022-12-03,2022-12-01,Gold,Location 11,392112250.2
2022-12-03,2022-12-01,Gold,Location 12,6452689389.3
2022-12-03,2022-12-01,Gold,Location 13,2405797806.3
2022-12-03,2022-12-01,Gold,Location 14,3476036750.4
2022-12-03,2022-12-01,Gold,Location 16,2010131583.3000002
2022-12-03,2022-12-01,Gold,Location 17,760505389.2
2022-12-03,2022-12-01,Iron,Location 01,401918139.9
2022-12-03,2022-12-01,Iron,Location 02,1423616249.4
2022-12-03,2022-12-01,Iron,Location 03,1072930638.9
2022-12-03,2022-12-01,Iron,Location 04,2209446195.0
2022-12-03,2022-12-01,Iron,Location 06,1620972249.9
2022-12-03,2022-12-01,Iron,Location 07,854736582.6
2022-12-03,2022-12-01,Iron,Location 08,1373100583.1999998
2022-12-03,2022-12-01,Iron,Location 09,857850056.4
2022-12-03,2022-12-01,Iron,Location 10,65319000.300000004
2022-12-03,2022-12-01,Iron,Location 11,889943638.5
2022-12-03,2022-12-01,Iron,Location 12,2592037029.2999997
2022-12-03,2022-12-01,Iron,Location 13,1425706610.1000001
2022-12-03,2022-12-01,Iron,Location 14,1829215166.1
2022-12-03,2022-12-01,Iron,Location 16,2915873943.8999996
2022-12-03,2022-12-01,Iron,Location 17,1214746695.3
2022-12-03,2022-12-01,Platinum,Location 01,104925722.4
2022-12-03,2022-12-01,Platinum,Location 02,434940000.0
2022-12-03,2022-12-01,Platinum,Location 03,3258670354.7999997
2022-12-03,2022-12-01,Platinum,Location 04,2911948190.4
2022-12-03,2022-12-01,Platinum,Location 06,60839305.5
2022-12-03,2022-12-01,Platinum,Location 07,240095166.9
2022-12-03,2022-12-01,Platinum,Location 09,1380335472.3
2022-12-03,2022-12-01,Platinum,Location 10,28402777.8
2022-12-03,2022-12-01,Platinum,Location 11,272709527.7
2022-12-03,2022-12-01,Platinum,Location 12,3007156221.9
2022-12-03,2022-12-01,Platinum,Location 13,883670139.0
2022-12-03,2022-12-01,Platinum,Location 14,1416883861.2
2022-12-03,2022-12-01,Platinum,Location 16,1062038888.7
2022-12-03,2022-12-01,Platinum,Location 17,277351972.5
2022-12-03,2022-12-01,Silver,Location 01,273354389.4
2022-12-03,2022-12-01,Silver,Location 02,522552305.7
2022-12-03,2022-12-01,Silver,Location 03,2301741555.6000004
2022-12-03,2022-12-01,Silver,Location 04,2710546971.0
2022-12-03,2022-12-01,Silver,Location 06,336914666.70000005
2022-12-03,2022-12-01,Silver,Location 07,499253305.5
2022-12-03,2022-12-01,Silver,Location 08,11930361.0
2022-12-03,2022-12-01,Silver,Location 09,1083532055.1
2022-12-03,2022-12-01,Silver,Location 10,69758139.0
2022-12-03,2022-12-01,Silver,Location 11,253774999.5
2022-12-03,2022-12-01,Silver,Location 12,4149338722.2000003
2022-12-03,2022-12-01,Silver,Location 13,1437690638.4
2022-12-03,2022-12-01,Silver,Location 14,2726693667.0
2022-12-03,2022-12-01,Silver,Location 16,1523275277.4
2022-12-03,2022-12-01,Silver,Location 17,392825361.6
2022-12-03,2022-12-01,Unranked,Location 01,27500472.3
2022-12-03,2022-12-01,Unranked,Location 02,197544111.0
